issuekey,storypoint,context,codesnippet,Bug,Improvement,New Feature,Story,Sub-task,Task,Admin - Event Viewer,Admin - Extensions,Admin - File Manager,Admin - Google Analytics,Admin - Languages,Admin - Pages,Admin - Recycle Bin,Admin - Search Engine SiteMap,Admin - Security Roles,Admin - Site Log,Admin - Site Settings,Admin - Site Wizard,Admin - Skins,Admin - Taxonomy,Admin - User Accounts,Admin - Vendors,Admin / Host Functions,Authentication,CKEditor,Client Resources,Control Panel,Control Panel - Icon Bar,Control Panel - Ribbon Bar,Core API,Core Modules,DDR Menu,Data Access (DAL),Document viewer,Documentation,Dynamic Content Creator,End User Functions,Exception Management,File Manager,Friendly / Standard URLs,General,Graphics & Icons,HTML Editor,HTML Module - Core,Help,Host - Configuration Manager,Host - Dashboard,Host - Device Detection Management,Host - Extensions,Host - File Manager,Host - Host Settings,Host - Lists,Host - Module Definitions,Host - SQL,Host - Schedule,Host - Search Admin,Host - Site Management,Host - SuperUser Accounts,Host = Membership Management,Host Page,ImageHandler,Import / Export,Installation,Installation / Upgrade,Journal,Localization - Content,Localization - Language Packs,Localization - Static,Localization / ML,Login/Registration,Login/Registration - Password Reset,MVC,Member Directory,Messaging,Mobile,Modules - Core,Modules - Third party,Moniker,Notifications,Performance,Professional Features Showcase,Provider - Active Directory,Providers,Release Packaging,SSL,Search,Security & Permissions,Services Framework,Site Groups,Skinning,Skins - DotNetNuke,Social Groups,Telerik,Templates,UI / Usability,URL ReWriter,Upgrade,User Profile,dam,jQuery
DNN-21213,1.0,"Icon API and Action(Command)Button are not compatible. Create a module action which refers to a icon, e.g.

actions.Add(ModuleContext.GetNextActionID(),
    ""Test"","""","""", IconController.IconURL(""View""), """", false, 
SecurityAccessLevel.View, true, false);




Test with an old container which still uses ActionButtons (e.g. from DNN_Gray)


The Icon is correctly displayed in ModuleAction, but it is wrong for the Action Button:




The actionbutton adds /images/ in front of the icon path.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DNN-21258,1.0,"Uploading new extension Use a remote or SLOW server
Host -&gt; Extensions -&gt; Install Extension Wizard
Select your extension
Click Next

Wait for the package to be uploaded

EXPECTED

Some indication that the package is being uploaded to the server before install (can take minutes in some instances).

ACTUAL

Nothing.

PLEASE NOTE

All we had to indicate that a package was being uploaded before was the browser itself (page waiting to be loaded). Now we are using a modal window we don&amp;apos;t even have that.

So this is a change in behavior (i.e. NOT an enhancement) as we have no indication whatsoever of what is going on now.",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DNN-21481,1.0,"Add alternate link w/ ""hreflang"" to sitemap.aspx for multilingual websites http://support.google.com/webmasters/bin/answer.py?hl=en&amp;answer=2620865",,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-21594,1.0,"Error when site template specifies missing profile property data type Brief Description of Issue:
When creating a site, if the site template specifies a profile property definition with a data-type that doesn&amp;apos;t exist in the site, there will be an error, rather than defaulting to ""Unknown,"" as the code seems to intend.

Clear Steps to Reproduce:

    Create a template from a site
    Manually edit the template, changing one of the &lt;profiledefinition&gt; element&amp;apos;s &lt;datatype&gt; to be some gibberish (or create a custom data type in the site)
    Try to create a new site using that template


Actual Result:

    The site is half-way created, and an error message is show indicating that there was an issue creating the profile property definitions


Expected Result:

    The site is created without issue, and the profile property is created with the Unknown data type

The code is trying to get the specified datatype from the data types dictionary, and then checking if the retrieved list entry is null.  However, the dictionary throws an exception if the item is missing, rather than returning null (unlike a Hashtable).",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-21596,1.0,"Typo in resource file (nl-NL) Brief Description of Issue:
small typo in resource file


Clear Steps to Reproduce:

\DesktopModules\Admin\Tabs\App_LocalResources\TabLocalization.ascx.nl-NL.resx



&lt;data name=""markTabTranslated.Text""&gt;
    &lt;value&gt;Markeer als Niet-Vertaald&lt;/value&gt;
  &lt;/data&gt;
  &lt;data name=""markTabUnTranslated.Text""&gt;
    &lt;value&gt;Markeer als Niet-Vertaald&lt;/value&gt;
  &lt;/data&gt;



Remove ""NIET-"" in the translation of the key markTabTranslated.Text",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-21906,2.0,"Splash page not being shown Brief Description of Issue:
When setting a page as the site&amp;apos;s splash page, the site still shows the home page when you first go to the site.

Clear Steps to Reproduce:


    Go to Site Settings under the Admin Menu
    In the Page Management under Advanced Settings, set the Splash page to a different page than the home page


Actual Result:


    Going to the root of the site in an incognito browser window shows the home page


Expected Result:

    Going to the root of the site in an incognito browser window shows the splash page
    

I&amp;apos;ve verified that the splash page behavior works up to DNN 6.1.3, but can&amp;apos;t get it working in 6.2.  I was also unable to find where the framework is looking at that in the code, to determine whether that was changed; sorry.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-21940,2.0,"Cannot View Unauthorized SuperUser Accounts Brief Description of Issue: No records are displayed when the Unauthorized filter is selected on the SuperUser Accounts module.




Clear Steps to Reproduce:

    Create one or more unauthorized SuperUser Accounts
    Select the Unauthorized filter.

Actual Result:

    No records displayed

Expected Result:

    All unauthorized accounts are displayed.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-21973,1.0,"iFrame with pdf covers mega menu submenu Running DNN 6.2.  Developed a skin built from the Black Knight skin.  When a mega menu submenu deploys with an iFrame containing a pdf; the submenu is covered by the pdf.  

The client site page that displays this is:


http://www.careerlinklehighvalley.org/lvp/LVP/By-Laws.aspx


Have attempted to adjust z-index with no effect.



Included  .DnnModule{z-index:1;position:relative;} in my skin.css file.  The only positive impact was the Action menu in each module now deploys above images where previously images covered the Action menu.


Have attempted work arounds with the iFrame with no impact.



The mega menu submenu continues to be hidden by the pdf.  The same result also occurs with the Black Knight skin deployed with DNN.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-3028,1.0,"SI: Custom secured login page does not stay logged in Brief Description of Issue:
When logging in using a custom login page that is secured, the user does not stay logged in once redirected to normal website.
For Example:
normal site = domain.com
secure pages = secure.domain.com
login page is secured. Go to login, enter credentials, get redirected to previous page (gettingstarted.aspx on normal site), user not logged in.


Clear Steps to Reproduce:

    Create new installation of DNN
    Create HTTPS binding to site with certificate
    Create new page with account login module
    Set page permission of &amp;apos;all users&amp;apos; to allow view
    Enter SSL settings -&gt; enforce SSL, set SSL URL to &amp;apos;secure.domain.com&amp;apos;, set Standard URL to &amp;apos;domain.com&amp;apos;.
    Set Login page to custom login page.
    Add &amp;apos;secure.domain.com&amp;apos; to hosts file
    log out of website
    log in to website (should be directed to &amp;apos;secure.domain.com/login.aspx&amp;apos;)

Actual Result:


    User gets logged in
    Redirects to previous page (domain.com)
    User is not logged in


Expected Result:


    User gets logged in
    Redirects to previous page (domain.com)
    User stays logged in",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-22134,2.0,"Take all fields in Admin -Site Settings -- User Settings tab and group all that are display only See attached jpeg.  All fields under Admin --&gt;Site Settings--&gt;User tab that are there just for display purposes should be grouped together with appropriate text stating the fields are just for display purposes.  To alter the settings, user has to go to web.config or to Host--&gt;Configuration Manager and load web.config file.


It is just confusing the way it is now.",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-5184,3.0,"SI - CSS May Fail to Load With Copyright Disabled Brief Description of Issue:
In the host settings, there is an option to disable &amp;apos;Show Copyright Credits&amp;apos;. With this option disabled, performing exactly nine postbacks on a page with an asp.net control will cause the page to load with no css. This issue was reported a long time ago here:

http://www.dotnetnuke.com/Resources/Forums/forumid/111/threadid/317156/scope/posts.aspx
More recently, our friends are SportsDirect have stumbled upon it while working with some custom modules.

Here are their comments on the issue:

""After further investigation, this error only happens when you are injecting something into the head of the page during the OnLoad event. I think there must be a conflict between how DNN removes the copyright text from the page and our code that was injecting into the page.
I have moved our event to the OnInit event and this is no longer causing and issue.
FYI - I have attached a simple sample module that shows this issue. It injects some example text into the page header and demonstrates a simple postback. On the ninth postback all page CSS is lost.""


Clear Steps to Reproduce:

    Install the attached module
    Add it to a page
    Select a value from the dropdown list 9 times.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-22307,1.0,"SearchResults.ascx.nl-NL.resx html tags not properly encoded Brief Description of Issue:
The resource file SearchResults.ascx.nl-NL.resx (in DesktopModules\Admin\SearchResults\App_LocalResources) has html tags that are not properly encoded (e.g. &amp;lt; for &lt;).


Clear Steps to Reproduce:

    In a site with the official DNN NL language package do a search.

Actual Result:

    Zoekresultaten voor werkgever

Expected Result:


    Zoekresultaten voor werkgever  (i.e. search term in bold and italic)

 
NB: in the attached resx file I also modified the value for &amp;apos;Relevance&amp;apos; to make it similar to the default resx.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-3073,1.0,"Template Manager Shows Non-HTML Template Files Brief Description of Issue:
In previous versions, the Template Manager in the Telerik editor only showed files that ended with the .htmtemplate extension. That is no longer the case. As the attached screen shot shows, all files are listed in the Template Manager selection window.



Not sure if this happens on clean installs, so I am listing the way our demo environment is able to reproduce this. I can post a backup of the environment should you not be able to reproduce this issue again.


I used EE for this, but this feature should be the same across all editions.


I marked this as ""Minor"" but this looks horrible in our sales demos to prospective customers.


Clear Steps to Reproduce:

    Clean install of 06.02.00
    Upgrade incrementally to 06.02.02
    Populate the Portals directory with several files of various types (can be done prior to upgrade too)
    Ensure that at least one of those files is a HTML template file
    Login with any user that can edit content (I used a Host user)
    Edit content in a HTML module
    Choose the Template Manager in the editor

Actual Result:

    All files are shown as being available, regardless to file type

Expected Result:


    Only files ending in .htmtemplate should be shown

Here is a link to my demo environment:  http://dnn-sales.s3.amazonaws.com/Demo/Demo%20Sites/DNNEE-AwesomeCycles-SalesDemo-201208200925.zip",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DNN-22451,1.0,"Detailed message is neccesary when deleting a page with child pages Brief Description of Issue:

Detailed message is neccesary when deleting a page with child pages


Clear Steps to Reproduce:

    Log on as Host
    Create a page structure as shown in the screenshot
    Navigate to page 004
    Go to Ribbonbar Pages - Actions Delete, and click Delete
    Look at the message 

Actual Result:

    The message says ""Are you sure you want to delete this page?""

Expected Result:

    The message should read ""Are you sure you want to delete this page and its child pages?""",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
