issuekey,title,description,storypoint
USERGRID-35,"Cannot delete an entity that has a connection to it","""To repro, attempt to delete an entity that has a connection to it such as: curl -X DELETE """"https://api.com/fdsafdsa/testapp/dog/Dachsund""""     Notice that you get error message:   {""""error"""":""""class_cast"""",""""timestamp"""":1386200483978,""""duration"""":0,""""exception"""":""""java.lang.ClassCastException"""",""""error_description"""":""""org.usergrid.persistence.cassandra.ConnectedEntityRefImpl cannot be cast to org.usergrid.persistence.cassandra.ConnectionRefImpl""""}     It is expected that the entity is deleted and the connection is deleted as well.""",3
USERGRID-40,"ActivityStreams should be indexed","""top-level properties like category, content, title should be indexed by default, so you can do     /activities?ql=category = 'Report'       Objects such as actor, object, provider, generator & target should be deep-indexed so you can do queries like:     /activities?ql=object.uuid = 'ca16c9a1-ab5b-11e1-8b99-1231381c404f'     /activities?ql=author.name = 'Tim'     etc.""",3
USERGRID-51,"the result from the Setup call (to setup DB) should not say OK when it failed to create KS (or other critical failure)","**Need to verify that this is still an issue    ""When the /setup call is run and create UG keyspaces, they could fail (for various reason).     However, it seems in the result from the call, the status always says OK:     {panel}   [root@rut000ea lib]# curl -u superuser:supervisor 0:8080/system/database/setup   \{   """"action"""" : """"cassandra setup"""",   """"status"""" : """"ok"""",   """"timestamp"""" : 1383342928369,   """"duration"""" : 65   \}   {panel}     Here is 1 way to reproduce this problem: in the usergrid properties, define to use NetworkTopologyStrategy AND replication_factor:     {panel}   cassandra.keyspace.strategy.options.replication_factor=3   cassandra.keyspace.strategy.options.us-east=3   cassandra.keyspace.strategy=org.apache.cassandra.locator.NetworkTopologyStrategy   {panel}     In C* 1.2, it becomes stricter on the options used (previously a warning). The above combination of the strategy options is invalid for NetworkTopologyStrategy, and will result in failure of creating the keyspace.     Hence the status result from the setup call should reflect it.""",3
USERGRID-56,"Error and possible race condition in the assets/uuid/data endpoints. ","It looks like we might have a race condition in the assets/uuid/data endpoints. perhaps the assets in general. I noticed my calls were successful about 5% of the time. I put in a 1s wait, and now it's over 95%. When it fails, I get this error:    {""error"":""web_application"",""timestamp"":1391230754494,""duration"":0,""exception"":""javax.ws.rs.WebApplicationException"",""error_description"":""com.sun.jersey.api.MessageException: A message body reader for Java class com.sun.jersey.multipart.FormDataMultiPart, and Java type class com.sun.jersey.multipart.FormDataMultiPart, and MIME media type application/octet-stream was not found.\n""}",3
USERGRID-58,"Application end-point returns incorrect counts","Here's an example of the obviously bad counts:            ""dogs"" : {            ""title"" : ""Dogs"",            ""count"" : -248,            ""name"" : ""dogs"",            ""type"" : ""dog""          },          ""medications"" : {            ""title"" : ""Medications"",            ""count"" : 3,            ""name"" : ""medications"",            ""type"" : ""medication""          },          ""somethings"" : {            ""title"" : ""Somethings"",            ""count"" : -12,            ""name"" : ""somethings"",            ""type"" : ""something""          },    I suspect ",3
USERGRID-59,"Mismatch application metadata ( APPLICATIONS_CF and Management Apps )","Sometimes, there's mismatch application metadata ( APPLICATIONS_CF and Management Apps )  So, we need to repair the datas.",3
USERGRID-82,"Cannot change custom entity name","If you have a custom entity and attempt to update the entity's name (via PUT), the system will accept the request and return success (200), but the name will remain unchanged.    eg. using ugc:  ugc create foo ""name: 'bar'""  ugc update foo/bar ""name: 'baz'""    (Note: Referencing the entity in the PUT via UUID has the same effect.)",3
USERGRID-98,"POST to /events returns entity that does not exist","When I create a new event entity, the API returns an entity with uuid, but when I do a GET on the entity, the API returns a service resource not found error. GET on the /events endpoint also shows that the entity was not saved.    So this POST:    curl -X POST ""https://api.usergrid.com/fdsafdsa/test/events"" -d '{""timestamp"":201111211437, ""category"":""testcat""}'      Returns this response:    {    ""action"" : ""post"",    ""application"" : ""4a1edb70-d7a8-11e2-9ce3-f315e5aa568a"",    ""params"" : { },    ""path"" : ""/events"",    ""uri"" : ""http://api.usergrid.com/fdsafdsa/test/events"",    ""entities"" : [ {      ""uuid"" : ""c8a283c6-e79b-1038-8735-1d2142858146"",      ""type"" : ""event"",      ""created"" : 1372888238225,      ""modified"" : 1372888238225,      ""timestamp"" : 201111211437,      ""category"" : ""testcat"",      ""message"" : null,      ""metadata"" : {        ""path"" : ""/events/c8a283c6-e79b-1038-8735-1d2142858146""      }    } ],      But a GET on /events/c8a283c6-e79b-1038-8735-1d2142858146 returns this error:    {""error"":""service_resource_not_found"",""timestamp"":1372888258143,""duration"":0,""exception"":""org.usergrid.services.exceptions.ServiceResourceNotFoundException"",""error_description"":""Service resource not found""}  ",3
USERGRID-103,"Upgrade to latest Jersey 2.x release","JAX-RS 2.0 brings lots of new features, much better extensible and async support are ones I think most useful ",5
USERGRID-160,"select (filter) queries with dot notation don't return results","Steps to reproduce:    1. Create a collection and populate it with an entity with the following data:  { ""foo.bar"": ""baz"" }    2. Run a GET query on this collection with a filter:    https://api.usergrid.com/org/app/collection/?ql=select foo.bar    3. No results are returned because the ""select"" filter isn't working with dot-notated key names.    Attached is a real-world use-case of where this is failing.",3
USERGRID-161,"Some required fields should not be required on the users page of the Admin Portal","On the users page of the Admin portal, there are a several fields that are marked as required but should not be.",3
USERGRID-178,"Lack of Documentation on available features and REST APIs","There is not a proper documentation for available features and REST APIs. It is bit time consuming to do things with Apache Usergrid without documentation.  ",3
USERGRID-179,"Java documentations are misleading the user(developer).","Java classes in Usergrid SDKs still referring apigee SDKs classes.    ex: Through the method explanation of logOutAppUserAsync() method in Client.java of Usergrid android SDK, referring to a class called ""DataClient"". There is not a class called ""DataClient"" in Usergrid android SDK, while apigee SDK has.    Therefore it is difficult to figure out by going through the code base.",3
USERGRID-193,"SaveCollectionMembers in Export does not correctly export all entity data","The saveConnections() and saveDictionaries() methods are called at the end of SaveCollectionMembers() in file ExportServiceImpl.java    but if collection for an entity was null, then it would just return and not export the connections and dictionaries for that particular entity, thus calling these functions in the start of the method ensures, that all connections and dictionaries are always exported.",3
USERGRID-210,"Fix the ""test 10 app limit"" test in the two-dot-o branch","This test fails because it fails to account for default apps created by the test framework. Also, do we need to enforce a 10 app limit in Usergrid?      ApplicationsIT.test10AppLimit:84 All elements removed expected:<0> but was:<3>    The test method above has been marked as Ignore.    To fix this bug you should re-enable the test above and then fix the test to properly check the 10 app limit.",3
USERGRID-211,"Fix ""start paging"" in the two-dot-o branch",NULL,3
USERGRID-212,"Fix EventsResourceIT.testEventPostandGet","This test fails in code that is still using Hector.     EventsResourceIT.testEventPostandGet:111 » UniformInterface GET http://localho...  org.apache.usergrid.persistence.exceptions.QueueException: Neccessary queue bounds not found    org.apache.usergrid.mq.cassandra.io.AbstractSearch.getQueueRange(AbstractSearch.java:160)    org.apache.usergrid.mq.cassandra.io.NoTransactionSearch.getIds(NoTransactionSearch.java:102)    org.apache.usergrid.mq.cassandra.io.NoTransactionSearch.getResults(NoTransactionSearch.java:72)    org.apache.usergrid.mq.cassandra.QueueManagerImpl.getFromQueue(QueueManagerImpl.java:404)    org.apache.usergrid.rest.applications.events.EventsResource.executeGet(EventsResource.java:67)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)    sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)    java.lang.reflect.Method.invoke(Method.java:606)      The test method above has been marked as Ignored.    To fix this bug, re-enable the test, figure out why it fails and fix it.",3
USERGRID-215,"Possible bug in usergrid-lib.min.js TypeError: c in null","Using UG (master) when I turn on firebug in firefox and log in to the UG portal, I see the following console error    usergrid-lib.min.js (line 27, col 92)    ...==this&&c.$$nextSibling))for(;c!==this&&!(d=c.$$nextSibling);)c=c.$parent}while(...    First things first, can anyone else reproduce this? I have no idea about why this is as I have not looked into the JavaScript yet.    	  ",3
USERGRID-216,"GET an non-exists entity by ID or Name throws 401 if no authorisation is required","for example    get /sandbox/users/non-exist-username throws 401 error code    this is because below code  {code}  @Provider  public class ServiceResourceNotFoundExceptionMapper extends AbstractExceptionMapper<ServiceResourceNotFoundException> {        @Override      public Response toResponse( ServiceResourceNotFoundException e ) {          if ( SubjectUtils.getSubjectUserId() == null ) {              return toResponse( UNAUTHORIZED, e );          }          else {              return toResponse( NOT_FOUND, e );          }      }  }  {code}",2
USERGRID-230,"unable to run usergrid while off line from internet","When trying to run the launcher and your not connected to the internet there is a spring bean error its unable to load the spring xsd e.g.:    http://www.springframework.org/schema/beans http://www.springframework.org/schema/beans/spring-beans-3.1.xsd     that is on line 22 in usergrid-standalone-context.xml in the launcher module.    Ive tried to run from source builds or from a-127 command and Its the same issue.",3
USERGRID-231,"Default collections are not created by database setup","Steps to reproduce:    1) setup a new Usergrid system  2) HTTP get the URL /system/database/setup  3) HTTP get the URL /system/superuser/setup  4) Login to the Portal  5) See that there is only a ""roles"" collection    But there should be these collections:      /activities      /assets      /devices      /folders      /groups       /roles      /tokens      /users  ",3
USERGRID-235,"Inconsistent missing resource status code","Assuming valid credentials, I get a different status code depending on the authorization method.    Bearer token:    curl -X GET -i -H ""Accept: application/json"" -H ""Authorization: Bearer XXX"" 'http://localhost:8080/test-organization/test-app/dogs/fido'    404 error: Service resource not found      Client id & Secret:    curl -X GET -i -H ""Accept: application/json"" 'http://localhost:8080/test-organization/test-app/dogs/fido?client_id=XXX&client_secret=XXX'    HTTP/1.1 401 Unauthorized    Note: In both cases, the client receives the same body content:    {""error"":""service_resource_not_found"",""timestamp"":1412358355742,""duration"":0,""exception"":""org.apache.usergrid.services.exceptions.ServiceResourceNotFoundException"",""error_description"":""Service resource not found""}  ",3
USERGRID-236,"Portal looks for helpJson.json in the wrong place","If you deploy the portal to a path other than ""/"" then you will get a 404 or possible a 500 error when the portal loads pages because it will not be able to load helpJson.json.",3
USERGRID-237,"two-dot-o: Error in Portal after entity create","After an entity is created, the Portal attempts to load the entity but gets a 500 error from the server because it forms a bad URL with two slashes after the application is specified.",3
USERGRID-238,"Remove ARS Maquette font from Portal","portal/css/arsmarquette/*  dist/usergrid-portal/css/arsmarquette/*  dist-cov/usergrid-portal/css/arsmarquette/*    These fonts are Copyright (c) ARS Type®-Angus R. Shamal, 1999-2010. All rights reserved. Do we have a license to redistribute them?",2
USERGRID-241,"Index Queue should not depend solely on AWS SQS ","In the two-dot-o branch the faulty queue implementation has been replaced by a set of Queue interfaces and an AWS SQS implementation of those interfaces.     Usergrid should not depend on a commercial service and the Usergrid Launcher should be able to run standalone and without external services.    So, what we need is a Queue implementation that we can embed in Usergrid for running JUnit tests that depend on the queue, for running the Usergrid Launcher and (ideally) one that can also be run remotely.    Apache Qpid seems to be a good candidate for our default queue implementation.",3
USERGRID-249,"Can't post on connection","After setting up my roles as prescribed, I receive this error in the terminal when trying  to create a connection:    WARNING: Exception occurred during body skip  java.lang.IllegalStateException: Can not skip more bytes than available    org.glassfish.grizzly.http.server.io.InputBuffer.skip(InputBuffer.java:600)  	…    I tried issuing this command from the shell in the portal:    post /users/2760f03a-22ef-11e4-8ffd-f3f0018b3726/mynotes { ""data"": ""Learn Usergrid�? }    and    post /users/2760f03a-22ef-11e4-8ffd-f3f0018b3726/mynotes [{ ""data"": ""Learn Usergrid""}]    Either command returns:    /users/2760f03a-22ef-11e4-8ffd-f3f0018b3726/mynotes     {    ""action"": ""post"",    ""application"": ""f2b952fa-22ee-11e4-9b4b-e9ea3d610fab"",    ""params"": {      ""access_token"": [        ""YWMtmZWU0iQUEeScLt1PgUhfegAAAUf7J0uW32RkTiYpwSNVOHBVAtmkMnjFT3s""      ]    },    ""path"": ""/users/2760f03a-22ef-11e4-8ffd-f3f0018b3726/mynotes"",    ""uri"": ""http://localhost:8080/test.2/note-pad/users/2760f03a-22ef-11e4-8ffd-f3f0018b3726/mynotes"",    ""entities"": [],    ""timestamp"": 1408063432982,    ""duration"": 6,    ""organization"": ""test.2"",    ""applicationName"": “note-pad""  }    However, no entities are being created. I’ve also tried using curl with the same results:    curl -H ""Authorization: Bearer YWMt2j3JaCQLEeSr1fvx65wFRAAAAUf67ffU8cqvWOyiAVXXIOea177UF05Noa8""  -X POST -d '[ {""data"":""Lear Usergrid""}]' http://localhost:8080/test.2/note-pad/users/me/mynotes    I did execute a post /users/2760f03a-22ef-11e4-8ffd-f3f0018b3726/mynotes by itself as well,  which made no difference.    -charles  ",3
USERGRID-262,"ES cursor errors should be translated for our users","When advancing beyond a cursor's end, or passing an invalid cursor, the following error is returned to the user.    {code}  body=  {""error"":""elasticsearch_illegal_argument"",""timestamp"":1417654353286,""duration"":0,""error_description"":""Failed to decode scrollId"",""exception"":""org.elasticsearch.ElasticsearchIllegalArgumentException""}    {code}    We should catch this error, and return a friendlier error message to our users.",3
USERGRID-263,"Limit not honored on subsequent requests with cursors","The following scenario worked in 1.0. We've broken this in 2.0.    Steps to reproduce.    1) Perform a query that returns a cursor, a limit may or may not be supplied.    curl -X GET ""http://localhost:8080/usergrid/test1/users?limit=20""    2) Perform the next page query and change the limit    curl -X GET ""http://localhost:8080/usergrid/test1/users?limit=40&cursor=cXVlcnlBbmRGZXRjaDsxOzk4NzA6UDFXa08zSVRTdGFXNncwRmZ2VkZudzswOw==""     *What should happen*    A response with  40 entities, assuming there are 40 to return.    *What actually happens*    A response with 20 entities, which is from the original query, but not what was requested.",3
USERGRID-273,"5 Cleanup test harness and create a more declarative test framework","Currently our test harnesses are a mess of spaghetti.  We need to decouple this mess, and allow us to cleanly define the rules and requirements of our system.  I think we need to break it down into the following behaviors.    h1. Test Execution Environments    h2. Parallel Execution    This should be the default behavior.  All tests are assumed to be parallel    h2. Serial Execution    This should be the exception, and only used when parallel execution cannot be accomplished.  Tests in this classification should run in a method at a time, with no concurrency    h1. External resources    h2. Cassandra    # Configure the runtime  # Pre invocation hook  ## Create default implementation of truncating column families.  This should be manually added, and not execute by default.  # Post invocation hook    h2. ElasticSearch     # Configure the runtime  # Pre invocation hook  ## Create default implementation of truncating column families.  This should be manually added, and not execute by default.  # Post invocation hook    h1. Lifecycle    A test itself can have numerous lifecycle operations.  These should be set up as rules, both class and instance, and should NOT be done via inheritance of abstract tests.  This is the old Junit3 way of operating, and needs removed.  ",8
USERGRID-280,"Implement Admin User methods in Management Class for REST tests","Implement Admin User methods in Management Class for REST tests.   Ensure that AdminUsersIT test works.",3
USERGRID-281,"Implement Superuser methods in Management Class for REST tests","Implement Superuser methods in Management Class for REST tests  Implement superuser token methods also",3
USERGRID-286,"[SPIKE] Research asynch distributed workflow","We need to develop an asynch distributed workflow for things like data cleanup after app/collection deletion.",3
USERGRID-294,"move cleanup to before tests run in stack","move cleanup to before tests run in stack  ",5
USERGRID-316,"Usergrid Launcher throws exception if ""initialize database"" unchecked","If you run the Launcher and you do not check the ""Initialize Database On Start"" button, then the first time you start the server the Launcher will exit with an error message like this:    2015-01-06 16:03:51,476 ERROR (pool-2-thread-1) [org.apache.cassandra.config.DatabaseDescriptor] - Fatal configuration error  org.apache.cassandra.exceptions.ConfigurationException: Cannot locate file:tmp/cassandra.yaml    org.apache.cassandra.config.DatabaseDescriptor.getStorageConfigURL(DatabaseDescriptor.java:123)    org.apache.cassandra.config.DatabaseDescriptor.loadYaml(DatabaseDescriptor.java:140)    org.apache.cassandra.config.DatabaseDescriptor.<clinit>(DatabaseDescriptor.java:132)    org.apache.cassandra.service.CassandraDaemon.setup(CassandraDaemon.java:216)    org.apache.cassandra.service.CassandraDaemon.activate(CassandraDaemon.java:447)    org.apache.usergrid.launcher.EmbeddedServerHelper$CassandraRunner.run(EmbeddedServerHelper.java:190)    java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)    java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)    java.lang.Thread.run(Thread.java:745)",3
USERGRID-324,"[SPIKE] Prototype a few distributed realtime parallel processing systems","We need a system to allow us to build distributed/parallel data process flows.  Ultimately, this system must have the following requirements at a component level.    h1. Software Requirements    # Work well within Reactive/Streams logic  # Allow easy operationalization.  No  additional external systems should be required  # Allow failover during node failure, and automatic recovery. Processing should not stop/restart because of a failure, it should resume.  # Not additional state administration should need to be built.  Distributed futures should be an inherent part of the framework.     Some examples are the following.    # Migrations  # Import/Export  # Distributed Indexing on heavily connected entities  # Post processing deletes  # Collection deletes  # Application deletes      I have the following requirements.    # You can define a deployment topology and limit the number of sub processes/workers in the workflow  # Ability to reject requests when there is no capacity  # Preferably, do not introduce another dependency (like Zookeeper) and deploy it in the stack war file  # An easy intuitive interface for programming flows which will work in a single node, or clustered environment  # Administrative status, giving the ability to poll operational status via REST for automated monitoring    h2. Examples    h3. Guaranteed post processing    # A write occurs.  It is written to Cassandra and a post processing message is triggered.   ## This message must be persistent, and allow for recovery during complete failure.   ## If there is no capacity for post processing in the system, we should reject this request via back pressure  ## The post processing should return a future (or similar) that could be blocked on if the caller chooses to.  # The HTTP call is returned to the user  # Post process indexing occurs asynchronously    h3. Reindex all entities in the system.    # Launch a root process.  This process emits all application ids within the system.  # Child processes receive the application id.  For each app, create the index in elastic search, then emit all collections.  # Child processes receive the collections and app ids. For each collection, emit the entity id  # Child process receives the app, collection, and id.  For each entity, get it's edges, and re-index the documents within elastic search.     h3. Delete a collection    Realtime -> Update collection alias to point to a new internal collection name.  Fire delete collection task.    Job process    # Launch root process.  Load previous collection name and emit to 2 child tasks.  # Child task 1: Remove every entity of the previous type from elastic search using bulk delete until empty.  # Child task 2: Iterate every entity and remove it from Cassandra, as well as it's graph edge.    ",8
USERGRID-332,"Fix ApplicationRequestCounterIT",NULL,3
USERGRID-333,"Fix ApplicationResourceIT",NULL,3
USERGRID-334,"Fix AssetResourceIT",NULL,3
USERGRID-335,"Test Not Passing: CollectionsResourceIT",NULL,2
USERGRID-336,"Fix ContentTypeResourceIT",NULL,1
USERGRID-338,"Fix OwnershipResourceIT","Failing the contextualConnectionOwnership test everytime. The others pass.",1
USERGRID-340,"Fix RegistrationIT",NULL,1
USERGRID-341,"Fix BrowserCompatibilityTest",NULL,3
USERGRID-342,"Fix AdminEmailEncodingIT",NULL,1
USERGRID-343,"Fix ApplicationRequestCounterIT",NULL,3
USERGRID-345,"Fix RetrieveUsersTest",NULL,1
USERGRID-346,"Fix MatrixQueryTests",NULL,3
USERGRID-347,"Fix AccessTokenIT",NULL,3
USERGRID-348,"Update ExportResourceIT to new REST test framework",NULL,3
USERGRID-349,"Fix PropertiesResourceIT",NULL,3
